TID,Item
T1,citrus fruit
T1,semi-finished bread
T1,margarine
T1,ready soups
T2,tropical fruit
T2,yogurt
T2,coffee
T3,whole milk
T4,pip fruit
T4,yogurt
T4,cream cheese 
T4,meat spreads
T5,other vegetables
T5,whole milk
T5,condensed milk
T5,long life bakery product
T6,whole milk
T6,butter
T6,yogurt
T6,rice
T6,abrasive cleaner
T7,rolls
T7,buns
T8,other vegetables
T8,UHT-milk
T8,rolls
T8,buns
T8,bottled beer
T8,liquor (appetizer)
T9,pot plants
T10,whole milk
T10,cereals
T11,tropical fruit
T11,other vegetables
T11,white bread
T11,bottled water
T11,chocolate
T12,citrus fruit
T12,tropical fruit
T12,whole milk
T12,butter
T12,curd
T12,yogurt
T12,flour
T12,bottled water
T12,dishes
T13,beef
T14,frankfurter
T14,rolls
T14,buns
T14,soda
T15,chicken
T15,tropical fruit
T16,butter
T16,sugar
T16,fruit
T16,vegetable juice
T16,newspapers
T17,fruit
T17,vegetable juice
T18,packaged fruit
T18,vegetables
T19,chocolate
T20,specialty bar
T21,other vegetables
T22,butter milk
T22,pastry
T23,whole milk
T24,tropical fruit
T24,cream cheese 
T24,processed cheese
T24,detergent
T24,newspapers
T25,tropical fruit
T25,root vegetables
T25,other vegetables
T25,frozen dessert
T25,rolls
T25,buns
T25,flour
T25,sweet spreads
T25,salty snack
T25,waffles
T25,candy
T25,bathroom cleaner
T26,bottled water
T26,canned beer
T27,yogurt
T28,sausage
T28,rolls
T28,buns
T28,soda
T28,chocolate
T29,other vegetables
T30,brown bread
T30,soda
T30,fruit
T30,vegetable juice
T30,canned beer
T30,newspapers
T30,shopping bags
T31,yogurt
T31,beverages
T31,bottled water
T31,specialty bar
T32,hamburger meat
T32,other vegetables
T32,rolls
T32,buns
T32,spices
T32,bottled water
T32,hygiene articles
T32,napkins
T33,root vegetables
T33,other vegetables
T33,whole milk
T33,beverages
T33,sugar
T34,pork
T34,berries
T34,other vegetables
T34,whole milk
T34,whipped
T34,sour cream
T34,artif. sweetener
T34,soda
T34,abrasive cleaner
T35,beef
T35,grapes
T35,detergent
T36,pastry
T36,soda
T37,fruit
T37,vegetable juice
T38,canned beer
T39,root vegetables
T39,other vegetables
T39,whole milk
T39,dessert
T40,citrus fruit
T40,zwieback
T40,newspapers
T41,sausage
T41,rolls
T41,buns
T41,soda
T41,canned beer
T41,specialty bar
T41,shopping bags
T42,tropical fruit
T42,root vegetables
T42,whole milk
T42,yogurt
T42,domestic eggs
T42,brown bread
T42,pastry
T42,sugar
T42,cereals
T42,coffee
T42,soda
T42,waffles
T42,candy
T43,berries
T43,yogurt
T44,canned beer
T45,butter milk
T45,yogurt
T45,cream cheese 
T45,spread cheese
T45,rolls
T45,buns
T45,bottled water
T45,soda
T45,newspapers
T46,coffee
T47,pastry
T47,bottled water
T48,rolls
T48,buns
T49,misc. beverages
T50,root vegetables
T50,other vegetables
T50,butter
T50,curd
T50,whipped
T50,sour cream
T50,UHT-milk
T50,hard cheese
T50,rolls
T50,buns
T50,bottled water
T50,long life bakery product
T51,sausage
T51,rolls
T51,buns
T51,cat food
T51,newspapers
T52,canned beer
T53,ham
T53,grapes
T53,other vegetables
T53,whole milk
T54,turkey
T54,tropical fruit
T54,other vegetables
T54,curd
T54,domestic eggs
T54,brown bread
T54,semi-finished bread
T54,margarine
T54,baking powder
T54,fruit
T54,vegetable juice
T55,whole milk
T55,yogurt
T55,processed cheese
T55,pickled vegetables
T55,soda
T56,whole milk
